date,views,likes,comments,trend,days_old,daily_views,daily_likes,daily_comments,daily_likes_to_views_ratio,daily_comments_to_views_ratio,trend_to_daily_views_ratio,trend_to_daily_likes_ratio,diff_daily_views,diff_daily_likes,diff_daily_comments
2024-05-03 00:00:00+00:00,40808.166666666664,2399.3333333333335,571.6666666666666,56,29,1407.0,82.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-04 00:00:00+00:00,42055.0,1601.0,85.0,69,28,1501.0,57.0,3.0,0.0,0.0,0.0,1.0,94.0,-25.0,-16.0
2024-05-05 00:00:00+00:00,16547.0,763.0,137.66666666666666,44,27,612.0,28.0,5.0,0.0,0.0,0.0,1.0,-889.0,-29.0,2.0
2024-05-06 00:00:00+00:00,8220.0,684.0,192.0,34,26,316.0,26.0,7.0,0.0,0.0,0.0,1.0,-296.0,-2.0,2.0
2024-05-07 00:00:00+00:00,15641.5,505.0,28.0,29,25,625.0,20.0,1.0,0.0,0.0,0.0,1.0,309.0,-6.0,-6.0
2024-05-08 00:00:00+00:00,10707.5,736.5,70.5,26,24,446.0,30.0,2.0,0.0,0.0,0.0,0.0,-179.0,10.0,1.0
2024-05-09 00:00:00+00:00,1147401.6666666667,46943.333333333336,3923.6666666666665,26,23,49887.0,2041.0,170.0,0.0,0.0,0.0,0.0,49441.0,2011.0,168.0
2024-05-10 00:00:00+00:00,20180.75,973.5,278.0,73,22,917.0,44.0,12.0,0.0,0.0,0.0,1.0,-48970.0,-1997.0,-158.0
2024-05-11 00:00:00+00:00,31902.333333333332,1410.0,159.33333333333334,54,21,1519.0,67.0,7.0,0.0,0.0,0.0,0.0,602.0,23.0,-5.0
2024-05-12 00:00:00+00:00,7371.0,288.0,28.0,39,20,368.0,14.0,1.0,0.0,0.0,0.0,2.0,-1151.0,-53.0,-6.0
2024-05-13 00:00:00+00:00,78545.33333333333,5487.0,876.3333333333334,39,19,4133.0,288.0,46.0,0.0,0.0,0.0,0.0,3765.0,274.0,45.0
2024-05-14 00:00:00+00:00,166699.0,5731.0,1119.0,46,18,9261.0,318.0,62.0,0.0,0.0,0.0,0.0,5128.0,30.0,16.0
2024-05-15 00:00:00+00:00,45001.666666666664,1914.6666666666667,474.6666666666667,32,17,2647.0,112.0,27.0,0.0,0.0,0.0,0.0,-6614.0,-206.0,-35.0
2024-05-16 00:00:00+00:00,16218.5,1042.5,444.5,34,16,1013.0,65.0,27.0,0.0,0.0,0.0,0.0,-1634.0,-47.0,0.0
2024-05-17 00:00:00+00:00,30681.333333333332,1811.6666666666667,333.6666666666667,24,15,2045.0,120.0,22.0,0.0,0.0,0.0,0.0,1032.0,55.0,-5.0
2024-05-18 00:00:00+00:00,19512.0,912.6666666666666,210.33333333333334,20,14,1393.0,65.0,15.0,0.0,0.0,0.0,0.0,-652.0,-55.0,-7.0
2024-05-19 00:00:00+00:00,3442.0,255.0,33.333333333333336,19,13,264.0,19.0,2.0,0.0,0.0,0.0,1.0,-1129.0,-46.0,-13.0
2024-05-20 00:00:00+00:00,25028.75,603.25,7.5,21,12,2085.0,50.0,0.0,0.0,0.0,0.0,0.0,1821.0,31.0,-2.0
2024-05-21 00:00:00+00:00,15915.5,1562.0,423.0,26,11,1446.0,142.0,38.0,0.0,0.0,0.0,0.0,-639.0,92.0,38.0
2024-05-22 00:00:00+00:00,19257.333333333332,187.33333333333334,96.33333333333333,94,10,1925.0,18.0,9.0,0.0,0.0,0.0,5.0,479.0,-124.0,-29.0
2024-05-23 00:00:00+00:00,9291.8,155.2,56.8,93,9,1032.0,17.0,6.0,0.0,0.0,0.0,5.0,-893.0,-1.0,-3.0
2024-05-24 00:00:00+00:00,272281.0,15534.0,3461.0,57,8,34035.0,1941.0,432.0,0.0,0.0,0.0,0.0,33003.0,1924.0,426.0
2024-05-25 00:00:00+00:00,21162.666666666668,2157.3333333333335,367.3333333333333,44,7,3023.0,308.0,52.0,0.0,0.0,0.0,0.0,-31012.0,-1633.0,-380.0
2024-05-26 00:00:00+00:00,9463.0,400.3333333333333,82.66666666666667,35,6,1577.0,66.0,13.0,0.0,0.0,0.0,0.0,-1446.0,-242.0,-39.0
2024-05-27 00:00:00+00:00,2736.0,331.5,18.75,29,5,547.0,66.0,3.0,0.0,0.0,0.0,0.0,-1030.0,0.0,-10.0
2024-05-28 00:00:00+00:00,31678.75,1707.5,39.5,25,4,7919.0,426.0,9.0,0.0,0.0,0.0,0.0,7372.0,360.0,6.0
2024-05-29 00:00:00+00:00,14093.5,1109.5,240.0,30,3,4697.0,369.0,80.0,0.0,0.0,0.0,0.0,-3222.0,-57.0,71.0
2024-05-30 00:00:00+00:00,8396.5,777.5,202.0,40,2,4198.0,388.0,101.0,0.0,0.0,0.0,0.0,-499.0,19.0,21.0
2024-05-31 00:00:00+00:00,4857.4,88.8,55.2,44,1,4857.0,88.0,55.0,0.0,0.0,0.0,0.0,659.0,-300.0,-46.0
