date,views,likes,comments,trend,days_old,daily_views,daily_likes,daily_comments,daily_likes_to_views_ratio,daily_comments_to_views_ratio,trend_to_daily_views_ratio,trend_to_daily_likes_ratio,diff_daily_views,diff_daily_likes,diff_daily_comments
2024-05-03 00:00:00+00:00,45.5,1.5,0.0,0,29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-14 00:00:00+00:00,1937.0,146.0,47.0,0,18,107.0,8.0,2.0,0.0,0.0,0.0,0.0,106.0,8.0,2.0
2024-05-21 00:00:00+00:00,3699.0,70.0,29.0,0,11,336.0,6.0,2.0,0.0,0.0,0.0,0.0,229.0,-2.0,0.0
2024-05-24 00:00:00+00:00,223165.33333333334,19956.666666666668,837.6666666666666,100,8,27895.0,2494.0,104.0,0.0,0.0,0.0,0.0,27559.0,2488.0,102.0
2024-05-25 00:00:00+00:00,576472.0,46160.75,2205.5,44,7,82353.0,6594.0,315.0,0.0,0.0,0.0,0.0,54458.0,4100.0,211.0
2024-05-26 00:00:00+00:00,121875.0,7764.5,509.5,13,6,20312.0,1294.0,84.0,0.0,0.0,0.0,0.0,-62041.0,-5300.0,-231.0
2024-05-27 00:00:00+00:00,54712.0,1885.5,431.5,6,5,10942.0,377.0,86.0,0.0,0.0,0.0,0.0,-9370.0,-917.0,2.0
2024-05-28 00:00:00+00:00,47698.0,2185.0,263.0,4,4,11924.0,546.0,65.0,0.0,0.0,0.0,0.0,982.0,169.0,-21.0
2024-05-29 00:00:00+00:00,9778.75,901.25,56.25,4,3,3259.0,300.0,18.0,0.0,0.0,0.0,0.0,-8665.0,-246.0,-47.0
2024-05-30 00:00:00+00:00,8468.666666666666,446.3333333333333,59.666666666666664,2,2,4234.0,223.0,29.0,0.0,0.0,0.0,0.0,975.0,-77.0,11.0
2024-05-31 00:00:00+00:00,5801.333333333333,353.3333333333333,22.333333333333332,3,1,5801.0,353.0,22.0,0.0,0.0,0.0,0.0,1567.0,130.0,-7.0
