date,views,likes,comments
2024-05-03,2214952,51841,7910
2024-05-03,4537852,256297,10415
2024-05-03,2948520,93977,32269
2024-05-03,1338184,63883,4122
2024-05-03,3011201,75377,4921
2024-05-04,1166179,82576,12476
2024-05-04,1729891,108722,9540
2024-05-05,1236730,49162,6826
2024-05-05,858470,52404,10897
2024-05-06,741816,38159,2627
2024-05-06,871312,48782,7429
2024-05-06,947540,18348,5219
2024-05-07,1294380,38179,3787
2024-05-07,1908657,52335,2909
2024-05-07,1293783,31368,5443
2024-05-07,1653570,43363,2330
2024-05-08,2146416,57432,2977
2024-05-08,2527239,68352,3751
2024-05-09,1221669,62915,4432
2024-05-09,1802258,51760,5275
2024-05-09,2147167,51676,2465
2024-05-10,1075874,56761,3729
2024-05-10,1352623,66014,2949
2024-05-10,3007455,88351,5166
2024-05-10,2308429,59094,2564
2024-05-10,2239831,49210,1767
2024-05-11,989465,19470,1199
2024-05-11,867820,53208,3354
2024-05-12,1606207,58013,7650
2024-05-12,1644474,69172,14279
2024-05-12,3208757,177525,5497
2024-05-12,3960652,46231,49
2024-05-13,1861450,48730,280
2024-05-14,3497662,102818,5143
2024-05-14,1761917,51536,3385
2024-05-14,1779466,51267,3644
2024-05-15,1946706,49955,2065
2024-05-15,2096109,123761,9048
2024-05-15,1875832,65983,6743
2024-05-16,1399285,39523,3791
2024-05-16,1688950,46272,3630
2024-05-16,1856373,92729,5740
2024-05-17,4274579,179216,1414
2024-05-17,1966345,48966,4200
2024-05-17,1993178,52664,2979
2024-05-18,1261275,52417,7588
2024-05-18,1503308,0,5508
2024-05-18,1163094,51267,7021
2024-05-18,1435505,27417,5145
2024-05-18,910383,39716,7890
2024-05-19,1004703,44837,2115
2024-05-20,1029956,27672,1114
2024-05-20,1174960,46576,2591
2024-05-20,1186445,102464,6802
2024-05-21,3437223,113502,7986
2024-05-21,1693598,59676,5682
2024-05-21,2387368,57125,2984
2024-05-22,1845466,49878,2977
2024-05-22,2416043,105150,3849
2024-05-22,2090455,57205,3337
2024-05-23,1611231,33856,7297
2024-05-23,2090680,54819,6342
2024-05-23,2597409,60323,4277
2024-05-24,1966350,49486,2769
2024-05-24,1224618,69906,8718
2024-05-24,1479771,51015,8395
2024-05-25,6177304,150002,978
2024-05-25,961092,48002,3030
2024-05-25,1549742,29607,1926
2024-05-26,1376098,70860,15834
2024-05-26,1585835,50299,9363
2024-05-26,2993125,198508,8047
2024-05-27,857003,52972,6557
2024-05-27,889807,48357,5980
2024-05-27,1051290,2053,0
2024-05-28,1021116,101084,17788
2024-05-28,1170978,55024,6385
2024-05-28,1342761,55971,23712
2024-05-28,971363,121532,1207
2024-05-29,994781,72269,2749
2024-05-29,1442496,47371,20271
2024-05-30,851635,43850,2597
2024-05-30,961179,14340,6756
2024-05-30,2246350,58481,4396
2024-05-30,1281543,85457,3496
2024-05-31,1099980,34873,11956
2024-05-31,1886248,40934,8306
2024-05-31,427415,27458,4111
2024-05-31,668398,34568,4618
2024-06-01,485158,28990,2521
