date,views,likes,comments
2024-05-03,244256,7612,49
2024-05-03,335594,17990,148
2024-05-03,338530,28584,2243
2024-05-04,490638,3669,33
2024-05-04,143925,5816,67
2024-05-04,432655,39500,3081
2024-05-05,253261,20938,1531
2024-05-05,547599,39222,1673
2024-05-05,2933182,40809,1736
2024-05-06,80898,3192,101
2024-05-06,342356,29338,2462
2024-05-06,455323,17921,334
2024-05-07,317408,19735,124
2024-05-07,524347,42765,3848
2024-05-07,414182,11558,669
2024-05-07,161368,4026,11
2024-05-08,65358,0,466
2024-05-08,350044,6575,336
2024-05-09,1884384,124446,1847
2024-05-09,152419,5015,61
2024-05-09,428284,36318,2935
2024-05-10,1346171,67040,669
2024-05-10,184829,1464,101
2024-05-10,301564,26017,1770
2024-05-11,609120,51439,3813
2024-05-11,603821,3134,894
2024-05-11,700913,11261,0
2024-05-12,326276,35579,384
2024-05-12,410935,4625,138
2024-05-12,466863,38286,1169
2024-05-13,858346,38798,185
2024-05-13,984338,51647,1524
2024-05-13,1363980,98321,11186
2024-05-14,2898502,157290,556
2024-05-14,804472,39930,0
2024-05-14,477390,46080,3717
2024-05-15,276265,28738,2450
2024-05-15,498150,25615,21
2024-05-15,1302348,90264,1119
2024-05-15,129407,5535,279
2024-05-16,270844,2,0
2024-05-16,194142,4581,0
2024-05-16,190741,2038,158
2024-05-17,150741,450,20
2024-05-17,438590,39891,3916
2024-05-18,116643,752,91
2024-05-18,253503,24519,2248
2024-05-18,152240,3417,618
2024-05-19,119177,0,23
2024-05-19,136623,3268,71
2024-05-19,258286,15695,23
2024-05-20,475833,6232,208
2024-05-20,491091,15356,113
2024-05-20,1371432,43959,42
2024-05-20,198067,728,0
2024-05-21,176372,576,1
2024-05-21,196452,22461,2174
2024-05-21,188260,16488,351
2024-05-22,366291,5310,251
2024-05-22,176640,12498,193
2024-05-23,298506,11957,11
2024-05-23,556698,17493,526
2024-05-23,603798,46659,5631
2024-05-24,184628,1097,0
2024-05-24,484290,1948,15
2024-05-24,716953,56305,4848
2024-05-24,276455,13081,178
2024-05-24,746082,35578,1671
2024-05-25,177548,4297,449
2024-05-26,107251,2685,265
2024-05-26,373391,34509,3958
2024-05-26,479824,20587,308
2024-05-27,72803,1425,5
2024-05-27,103188,529,20
2024-05-27,302425,28674,2930
2024-05-28,190254,4019,214
2024-05-28,286273,23044,1917
2024-05-28,321509,23087,128
2024-05-29,353288,73896,2883
2024-05-29,84122,4143,46
2024-05-29,122734,3721,14
2024-05-29,150809,16633,1434
2024-05-30,221564,20187,2142
2024-05-30,704739,24418,1884
2024-05-30,150040,22952,1222
2024-05-31,213641,476,1
2024-05-31,269504,11600,1556
2024-06-01,12723,132,24
2024-06-01,13526,422,0
2024-06-01,24522,163,0
