date,views,likes,comments,days_old,daily_views,daily_likes,daily_comments,daily_likes_to_views_ratio,daily_comments_to_views_ratio,trend_to_daily_views_ratio,trend_to_daily_likes_ratio,diff_daily_views,diff_daily_likes,diff_daily_comments,trend
2024-05-03,0.9579414342297881,0.9999999999999998,0.97118319019428,0.9999999999999999,0.0648711476681236,0.07200459089673503,0.05488732199640536,0.0,0.0,0.0,0.0,0.2902067101351922,0.43774420946626386,0.24819134799940945,12
2024-05-04,0.29105601496212957,0.8296353067535984,0.8945218043858918,0.9642857142857143,0.01912155847890159,0.062430154942764805,0.05239872805198396,0.0,0.0,0.0,0.0,0.1993290669283896,0.4249748237663646,0.24553373689650085,9
2024-05-05,0.09500364750867812,0.2242509944462135,0.7155423997331777,0.9285714285714285,0.006045474196628264,0.01603793530459996,0.043412138808240006,0.0,0.0,0.0,0.0,0.2642321878934391,0.3758710976837865,0.23859441901668393,8
2024-05-06,0.0,0.012588222806326321,0.40120625920675956,0.8928571428571428,0.0,0.0,0.02502419466334854,0.0,0.0,0.0,0.0,0.27819789307708087,0.41635448136958714,0.22855455485014028,10
2024-05-07,0.33490567885277284,0.09644711489159591,0.27826648878512467,0.8571428571428571,0.029031640782803354,0.009151590202059863,0.0179731784874879,0.0,0.0,0.0,0.0,0.34787557972559324,0.4499496475327291,0.24066144987450172,13
2024-05-08,0.726207472252006,0.3876397217169781,0.25715000416909867,0.8214285714285714,0.06534295992329506,0.03838835361986167,0.01742015761094981,0.0,0.0,0.0,0.0,0.3623360377138398,0.47673716012084594,0.24760076775431866,12
2024-05-09,0.42602020083329656,0.28722809024947954,0.3149615053225493,0.7857142857142857,0.0426392732066325,0.03204566734120632,0.022397345499792616,0.0,0.0,0.0,0.0,0.2451077796861739,0.4292849949647533,0.25350657020522666,13
2024-05-10,0.5597512839720145,0.4010519270937342,0.24639372967564413,0.75,0.05865861548414924,0.0469358784620496,0.018387944144891467,0.0,0.0,0.0,0.0,0.3220277624703852,0.45760322255790536,0.24390964122250114,12
2024-05-11,0.03676223629001851,0.029355728387998603,0.16647210873009255,0.7142857142857143,0.011534088435436136,0.011507445105560427,0.012995990598645098,0.0,0.0,0.0,0.0,0.19659787055174996,0.3904934541792548,0.24243319060977414,11
2024-05-12,0.8575153366723949,0.7228537772764316,0.5493829734011507,0.6785714285714285,0.09863711056505087,0.0917273248965538,0.045485967095257845,0.0,0.0,0.0,0.0,0.46322940842849614,0.5447331319234643,0.28288793739849405,11
2024-05-13,0.4934633706896973,0.19654952800911057,0.0,0.6428571428571428,0.06595449340424692,0.03669697061222025,0.0,0.0,0.0,0.0,0.0,0.2252854884577791,0.36435045317220544,0.199616122840691,12
2024-05-14,0.7308688577830655,0.4638536117602821,0.3149615053225493,0.6071428571428571,0.0987393703027597,0.0742396327282612,0.029171851237384208,0.0,0.0,0.0,0.0,0.3553310620291301,0.4878147029204431,0.27934445592794926,12
2024-05-15,0.5480204717444557,0.6171269634803007,0.4729425498207288,0.5714285714285714,0.08425999892677899,0.10118094777854963,0.0464537536291995,0.0,0.0,0.0,0.0,0.2614446781894461,0.47367573011077546,0.266646980658497,11
2024-05-16,0.38905780036458765,0.3419788535128104,0.3424497623613775,0.5357142857142857,0.07105836803583343,0.07158174514482468,0.0359463569749758,0.0,0.0,0.0,0.0,0.26398280030087407,0.3982678751258812,0.23697032334268422,11
