date,views,likes,comments,trend,days_old,daily_views,daily_likes,daily_comments,daily_likes_to_views_ratio,daily_comments_to_views_ratio,trend_to_daily_views_ratio,trend_to_daily_likes_ratio,diff_daily_views,diff_daily_likes,diff_daily_comments
2024-05-02 00:00:00+00:00,169096.0,9614.0,157.0,27,29,5830.0,331.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-03 00:00:00+00:00,262963.25,13721.0,266.75,28,28,9391.0,490.0,9.0,0.0,0.0,0.0,0.0,3561.0,159.0,4.0
2024-05-04 00:00:00+00:00,13811.0,421.0,35.0,19,27,511.0,15.0,1.0,0.0,0.0,0.0,1.0,-8880.0,-475.0,-8.0
2024-05-05 00:00:00+00:00,370883.6666666667,22143.0,713.0,17,26,14264.0,851.0,27.0,0.0,0.0,0.0,0.0,13753.0,836.0,26.0
2024-05-06 00:00:00+00:00,134116.75,3551.25,291.25,28,25,5364.0,142.0,11.0,0.0,0.0,0.0,0.0,-8900.0,-709.0,-16.0
2024-05-07 00:00:00+00:00,482277.0,38629.0,418.0,29,24,20094.0,1609.0,17.0,0.0,0.0,0.0,0.0,14730.0,1467.0,6.0
2024-05-08 00:00:00+00:00,66678.25,3936.75,231.5,26,23,2899.0,171.0,10.0,0.0,0.0,0.0,0.0,-17195.0,-1438.0,-7.0
2024-05-09 00:00:00+00:00,120713.66666666667,6515.666666666667,753.0,29,22,5486.0,296.0,34.0,0.0,0.0,0.0,0.0,2587.0,125.0,24.0
2024-05-10 00:00:00+00:00,1460149.0,29593.0,451.0,29,21,69530.0,1409.0,21.0,0.0,0.0,0.0,0.0,64044.0,1113.0,-13.0
2024-05-11 00:00:00+00:00,101206.33333333333,4644.666666666667,988.0,18,20,5060.0,232.0,49.0,0.0,0.0,0.0,0.0,-64470.0,-1177.0,28.0
2024-05-12 00:00:00+00:00,168141.0,11615.0,597.6666666666666,18,19,8849.0,611.0,31.0,0.0,0.0,0.0,0.0,3789.0,379.0,-18.0
2024-05-13 00:00:00+00:00,141425.75,3287.25,411.25,28,18,7856.0,182.0,22.0,0.0,0.0,0.0,0.0,-993.0,-429.0,-9.0
2024-05-14 00:00:00+00:00,53022.0,1912.5,493.5,28,17,3118.0,112.0,29.0,0.0,0.0,0.0,0.0,-4738.0,-70.0,7.0
2024-05-15 00:00:00+00:00,274040.25,7666.75,280.75,30,16,17127.0,479.0,17.0,0.0,0.0,0.0,0.0,14009.0,367.0,-12.0
2024-05-16 00:00:00+00:00,737736.3333333334,18508.0,1206.3333333333333,30,15,49182.0,1233.0,80.0,0.0,0.0,0.0,0.0,32055.0,754.0,63.0
2024-05-17 00:00:00+00:00,439108.3333333333,24091.0,721.6666666666666,30,14,31364.0,1720.0,51.0,0.0,0.0,0.0,0.0,-17818.0,487.0,-29.0
2024-05-18 00:00:00+00:00,112440.0,2213.6666666666665,280.0,21,13,8649.0,170.0,21.0,0.0,0.0,0.0,0.0,-22715.0,-1550.0,-30.0
2024-05-19 00:00:00+00:00,364676.3333333333,16500.333333333332,398.6666666666667,20,12,30389.0,1375.0,33.0,0.0,0.0,0.0,0.0,21740.0,1205.0,12.0
2024-05-20 00:00:00+00:00,155143.33333333334,6145.333333333333,346.6666666666667,33,11,14103.0,558.0,31.0,0.0,0.0,0.0,0.0,-16286.0,-817.0,-2.0
2024-05-21 00:00:00+00:00,190927.66666666666,13571.0,494.6666666666667,39,10,19092.0,1357.0,49.0,0.0,0.0,0.0,0.0,4989.0,799.0,18.0
2024-05-22 00:00:00+00:00,295616.0,14295.75,1291.5,85,9,32846.0,1588.0,143.0,0.0,0.0,0.0,0.0,13754.0,231.0,94.0
2024-05-23 00:00:00+00:00,1111165.0,95773.0,2279.0,100,8,138895.0,11971.0,284.0,0.0,0.0,0.0,0.0,106049.0,10383.0,141.0
2024-05-24 00:00:00+00:00,217526.0,11236.0,711.5,56,7,31075.0,1605.0,101.0,0.0,0.0,0.0,0.0,-107820.0,-10366.0,-183.0
2024-05-25 00:00:00+00:00,426167.0,12849.0,420.5,33,6,71027.0,2141.0,70.0,0.0,0.0,0.0,0.0,39952.0,536.0,-31.0
2024-05-26 00:00:00+00:00,477305.3333333333,12964.666666666666,665.0,27,5,95461.0,2592.0,133.0,0.0,0.0,0.0,0.0,24434.0,451.0,63.0
2024-05-27 00:00:00+00:00,760718.0,4745.666666666667,28.0,34,4,190179.0,1186.0,7.0,0.0,0.0,0.0,0.0,94718.0,-1406.0,-126.0
2024-05-28 00:00:00+00:00,197319.25,12231.75,467.5,53,3,65773.0,4077.0,155.0,0.0,0.0,0.0,0.0,-124406.0,2891.0,148.0
2024-05-29 00:00:00+00:00,110355.5,7041.5,159.5,56,2,55177.0,3520.0,79.0,0.0,0.0,0.0,0.0,-10596.0,-557.0,-76.0
2024-05-30 00:00:00+00:00,384100.75,26105.25,212.75,50,1,384100.0,26105.0,212.0,0.0,0.0,0.0,0.0,328923.0,22585.0,133.0
