date,views,likes,comments,trend,days_old,daily_views,daily_likes,daily_comments,daily_likes_to_views_ratio,daily_comments_to_views_ratio,trend_to_daily_views_ratio,trend_to_daily_likes_ratio,diff_daily_views,diff_daily_likes,diff_daily_comments
2024-05-03 00:00:00+00:00,12302.0,772.3333333333334,5.333333333333333,0,29,424.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-04 00:00:00+00:00,82368.0,1247.3333333333333,29.0,0,28,2941.0,44.0,1.0,0.0,0.0,0.0,0.0,2517.0,18.0,1.0
2024-05-05 00:00:00+00:00,159934.66666666666,1782.3333333333333,418.6666666666667,0,27,5923.0,66.0,15.0,0.0,0.0,0.0,0.0,2982.0,22.0,14.0
2024-05-06 00:00:00+00:00,44076.0,516.0,311.0,0,26,1695.0,19.0,11.0,0.0,0.0,0.0,0.0,-4228.0,-47.0,-4.0
2024-05-07 00:00:00+00:00,241538.0,3194.3333333333335,1629.0,0,25,9661.0,127.0,65.0,0.0,0.0,0.0,0.0,7966.0,108.0,54.0
2024-05-08 00:00:00+00:00,25248.666666666668,1173.3333333333333,606.6666666666666,0,24,1052.0,48.0,25.0,0.0,0.0,0.0,0.0,-8609.0,-79.0,-40.0
2024-05-09 00:00:00+00:00,109264.33333333333,1393.0,923.0,0,23,4750.0,60.0,40.0,0.0,0.0,0.0,0.0,3698.0,12.0,15.0
2024-05-10 00:00:00+00:00,70918.66666666667,1505.3333333333333,487.0,0,22,3223.0,68.0,22.0,0.0,0.0,0.0,0.0,-1527.0,8.0,-18.0
2024-05-11 00:00:00+00:00,150789.66666666666,1321.3333333333333,374.0,0,21,7180.0,62.0,17.0,0.0,0.0,0.0,0.0,3957.0,-6.0,-5.0
2024-05-12 00:00:00+00:00,39068.333333333336,2689.0,516.0,0,20,1953.0,134.0,25.0,0.0,0.0,0.0,0.0,-5227.0,72.0,8.0
2024-05-13 00:00:00+00:00,129229.0,1912.3333333333333,848.6666666666666,0,19,6801.0,100.0,44.0,0.0,0.0,0.0,0.0,4848.0,-34.0,19.0
2024-05-14 00:00:00+00:00,274441.6666666667,5654.0,756.3333333333334,0,18,15246.0,314.0,42.0,0.0,0.0,0.0,0.0,8445.0,214.0,-2.0
2024-05-15 00:00:00+00:00,109095.66666666667,1944.6666666666667,378.6666666666667,0,17,6417.0,114.0,22.0,0.0,0.0,0.0,0.0,-8829.0,-200.0,-20.0
2024-05-16 00:00:00+00:00,645296.6666666666,6940.666666666667,3250.0,0,16,40331.0,433.0,203.0,0.0,0.0,0.0,0.0,33914.0,319.0,181.0
2024-05-17 00:00:00+00:00,108138.33333333333,4167.0,182.33333333333334,0,15,7209.0,277.0,12.0,0.0,0.0,0.0,0.0,-33122.0,-156.0,-191.0
2024-05-18 00:00:00+00:00,202153.66666666666,2891.6666666666665,402.6666666666667,0,14,14439.0,206.0,28.0,0.0,0.0,0.0,0.0,7230.0,-71.0,16.0
2024-05-19 00:00:00+00:00,1764445.5,23242.0,4720.0,46,13,135726.0,1787.0,363.0,0.0,0.0,0.0,0.0,121287.0,1581.0,335.0
2024-05-20 00:00:00+00:00,2769604.5,23622.0,4148.5,100,12,230800.0,1968.0,345.0,0.0,0.0,0.0,0.0,95074.0,181.0,-18.0
2024-05-21 00:00:00+00:00,2275593.6666666665,44779.333333333336,1124.0,20,11,206872.0,4070.0,102.0,0.0,0.0,0.0,0.0,-23928.0,2102.0,-243.0
2024-05-22 00:00:00+00:00,1885772.3333333333,109573.0,5692.666666666667,8,10,188577.0,10957.0,569.0,0.0,0.0,0.0,0.0,-18295.0,6887.0,467.0
2024-05-23 00:00:00+00:00,2280826.75,126675.5,1479.25,4,9,253425.0,14075.0,164.0,0.0,0.0,0.0,0.0,64848.0,3118.0,-405.0
2024-05-24 00:00:00+00:00,2221909.5,130687.0,865.5,3,8,277738.0,16335.0,108.0,0.0,0.0,0.0,0.0,24313.0,2260.0,-56.0
2024-05-25 00:00:00+00:00,924429.5,35858.25,970.0,2,7,132061.0,5122.0,138.0,0.0,0.0,0.0,0.0,-145677.0,-11213.0,30.0
2024-05-26 00:00:00+00:00,394017.5,11455.25,232.0,2,6,65669.0,1909.0,38.0,0.0,0.0,0.0,0.0,-66392.0,-3213.0,-100.0
2024-05-27 00:00:00+00:00,686429.0,10450.0,295.0,1,5,137285.0,2090.0,59.0,0.0,0.0,0.0,0.0,71616.0,181.0,21.0
2024-05-28 00:00:00+00:00,839348.6666666666,15202.666666666666,399.3333333333333,1,4,209837.0,3800.0,99.0,0.0,0.0,0.0,0.0,72552.0,1710.0,40.0
2024-05-29 00:00:00+00:00,273243.0,2302.3333333333335,53.666666666666664,1,3,91081.0,767.0,17.0,0.0,0.0,0.0,0.0,-118756.0,-3033.0,-82.0
2024-05-30 00:00:00+00:00,184705.8,5208.2,100.2,1,2,92352.0,2604.0,50.0,0.0,0.0,0.0,0.0,1271.0,1837.0,33.0
2024-05-31 00:00:00+00:00,71778.0,148.33333333333334,0.0,1,1,71778.0,148.0,0.0,0.0,0.0,0.0,0.0,-20574.0,-2456.0,-50.0
