date,views,likes,comments
2024-05-03,21289,138,18
2024-05-03,59769,1399,37
2024-05-03,127041,4827,685
2024-05-04,6454,345,65
2024-05-04,1629,46,6
2024-05-04,3849,43,8
2024-05-05,194074,9564,3149
2024-05-05,391671,33347,6871
2024-05-05,1508621,0,2473
2024-05-06,497259,2806,73
2024-05-06,5687,184,59
2024-05-06,6342,233,40
2024-05-06,12080,173,14
2024-05-07,1961,29,3
2024-05-07,580,20,5
2024-05-08,20875,83,80
2024-05-08,100449,2321,3435
2024-05-08,391528,9406,2244
2024-05-09,145799,904,174
2024-05-09,148487,4516,1973
2024-05-09,3400132,139275,11336
2024-05-10,64763,5938,616
2024-05-10,27048,76,9
2024-05-10,4769,46,0
2024-05-10,29481,233,0
2024-05-11,63247,1229,0
2024-05-11,34111,309,1
2024-05-11,114837,1115,187
2024-05-12,61361,617,15
2024-05-12,12704,505,10
2024-05-13,26253,0,10
2024-05-13,152430,2165,374
2024-05-13,388138,2343,78
2024-05-13,148100,10080,2317
2024-05-14,244361,21270,3518
2024-05-14,20196,239,135
2024-05-14,55769,817,162
2024-05-15,38024,1037,698
2024-05-15,159306,3764,482
2024-05-16,28362,977,124
2024-05-16,4205,351,87
2024-05-16,10796,91,3
2024-05-16,713543,36980,6957
2024-05-17,552449,2790,236
2024-05-17,492875,2252,72
2024-05-17,36490,526,321
2024-05-18,10282,0,6
2024-05-18,6930,33,4
2024-05-19,61309,346,155
2024-05-19,155538,14815,2060
2024-05-19,288851,1913,73
2024-05-20,19325,147,95
2024-05-20,213737,16300,3234
2024-05-20,572879,2822,199
2024-05-21,589100,2524,112
2024-05-21,160248,1390,103
2024-05-21,25446,179,71
2024-05-22,41488,140,1
2024-05-22,78590,568,0
2024-05-22,148557,3461,536
2024-05-23,32374,223,287
2024-05-23,38248,1684,46
2024-05-23,308729,2663,282
2024-05-24,48424,534,14
2024-05-24,76236,769,284
2024-05-24,631690,2683,68
2024-05-25,799,85,15
2024-05-25,40392,443,7
2024-05-25,49513,470,7
2024-05-25,350344,2239,52
2024-05-26,1591,7,0
2024-05-26,4521,159,30
2024-05-27,7008,405,42
2024-05-27,10121,113,0
2024-05-27,16359,108,51
2024-05-27,175401,1261,61
2024-05-28,14676,127,140
2024-05-28,23599,110,36
2024-05-28,8629,91,90
2024-05-29,1039,107,24
2024-05-29,3496,24,37
2024-05-29,23646,894,13
2024-05-30,2344,48,2
2024-05-30,5213,208,51
2024-05-30,1020,101,34
2024-05-30,1970,84,17
2024-05-31,2,0,0
2024-06-01,3,0,0
