date,views,likes,comments
2024-05-02,532022,4478,577
2024-05-03,9254,198,4
2024-05-03,47130,1269,18
2024-05-04,4172,28,4
2024-05-04,216708,1882,81
2024-05-04,4119,0,17
2024-05-05,7127,24,1
2024-05-05,18908,405,43
2024-05-05,29466272,1563417,21307
2024-05-05,45555,797,76
2024-05-06,6627,0,0
2024-05-06,10565,0,0
2024-05-07,13783,173,2
2024-05-07,14354,49,0
2024-05-07,36884,794,0
2024-05-08,4576,114,1
2024-05-08,6090,450,45
2024-05-08,10273,301,23
2024-05-09,1182,33,3
2024-05-09,132381,4890,446
2024-05-09,1044,13,1
2024-05-09,650,0,9
2024-05-10,10800,218,0
2024-05-10,34006,672,89
2024-05-10,162640,5074,39
2024-05-11,93508,2877,162
2024-05-11,109076,4198,382
2024-05-11,647475,16624,1700
2024-05-12,27492,522,12
2024-05-12,18919,276,0
2024-05-13,13578,0,18
2024-05-13,20843,355,3
2024-05-13,758418,33212,2713
2024-05-14,14116,101,28
2024-05-14,11386,910,35
2024-05-14,13168,105,5
2024-05-15,72320,1672,24
2024-05-15,269105,5326,323
2024-05-15,37776,593,28
2024-05-15,852739,2737,132
2024-05-15,66129,1588,26
2024-05-16,1215352,14741,739
2024-05-16,19760,1496,82
2024-05-17,75954,727,18
2024-05-17,116280,1225,27
2024-05-18,17722,501,97
2024-05-18,29772,2931,236
2024-05-18,24019,1947,5
2024-05-19,279724,25797,1075
2024-05-19,329126,2376,567
2024-05-19,71303,1577,39
2024-05-19,17709,304,2
2024-05-20,11785,121,10
2024-05-20,16916,2217,196
2024-05-21,14732,161,22
2024-05-21,16294,371,2
2024-05-21,17420,505,2
2024-05-22,10969,398,6
2024-05-22,24339,980,72
2024-05-22,31272,853,33
2024-05-22,21802,922,53
2024-05-23,10961,147,13
2024-05-23,69328,1727,126
2024-05-24,30358,237,6
2024-05-24,31520,863,20
2024-05-24,1002461,29141,1582
2024-05-25,12241,131,4
2024-05-25,631010,15089,640
2024-05-25,10260,90,0
2024-05-25,13624,36,8
2024-05-26,10301,311,19
2024-05-26,63507,3362,131
2024-05-27,16983,690,17
2024-05-27,24122,0,4
2024-05-27,42004,654,4
2024-05-28,30080,935,27
2024-05-28,37193,1122,2
2024-05-28,868164,2648,58
2024-05-29,2119,132,9
2024-05-29,68,1,0
2024-05-29,10296,359,4
2024-05-29,6914,56,2
2024-05-29,100135,8151,412
2024-05-30,444,12,0
2024-05-31,46,0,0
2024-05-31,51,2,0
2024-05-31,218,14,1
2024-05-31,121,4,0
2024-05-31,146099,7320,10
2024-06-01,567,41,0
