date,views,likes,comments
2024-05-02,169096,9614,157
2024-05-03,138112,7962,61
2024-05-03,122994,3259,502
2024-05-03,84289,3267,159
2024-05-03,706458,40396,345
2024-05-04,13811,421,35
2024-05-05,110133,6889,388
2024-05-05,120944,8998,1150
2024-05-05,881574,50542,601
2024-05-06,60903,2212,329
2024-05-06,208229,2244,232
2024-05-06,113669,4446,390
2024-05-06,153666,5303,214
2024-05-07,787860,62126,570
2024-05-07,176694,15132,266
2024-05-08,50099,3043,245
2024-05-08,51975,2594,34
2024-05-08,96749,7907,171
2024-05-08,67890,2203,476
2024-05-09,95773,3800,401
2024-05-09,234781,15373,1846
2024-05-09,31587,374,12
2024-05-10,2877713,56914,548
2024-05-10,42585,2272,354
2024-05-11,91385,3462,604
2024-05-11,101709,6374,521
2024-05-11,110525,4098,1839
2024-05-12,103377,6139,409
2024-05-12,169154,8835,641
2024-05-12,231892,19871,743
2024-05-13,210506,6314,935
2024-05-13,213969,2669,97
2024-05-13,54580,234,94
2024-05-13,86648,3932,519
2024-05-14,46384,1632,504
2024-05-14,59660,2193,483
2024-05-15,92757,2938,626
2024-05-15,249723,1689,121
2024-05-15,291369,18705,216
2024-05-15,462312,7335,160
2024-05-16,130576,9724,183
2024-05-16,1859293,28685,2342
2024-05-16,223340,17115,1094
2024-05-17,74025,1742,30
2024-05-17,1038183,58557,1976
2024-05-17,205117,11974,159
2024-05-18,76921,3033,785
2024-05-18,104321,1490,11
2024-05-18,156078,2118,44
2024-05-19,90950,7072,290
2024-05-19,662792,14591,767
2024-05-19,340287,27838,139
2024-05-20,144098,9220,472
2024-05-20,159672,7061,346
2024-05-20,161660,2155,222
2024-05-21,73359,5590,65
2024-05-21,233798,22778,446
2024-05-21,265626,12345,973
2024-05-22,280808,8405,27
2024-05-22,463311,18781,4280
2024-05-22,219972,10013,623
2024-05-22,218373,19984,236
2024-05-23,1111165,95773,2279
2024-05-24,147371,14077,1213
2024-05-24,173089,5979,164
2024-05-24,215406,18788,434
2024-05-24,334238,6100,1035
2024-05-25,146603,1450,132
2024-05-25,705731,24248,709
2024-05-26,1042228,12345,1061
2024-05-26,190677,8111,652
2024-05-26,199011,18438,282
2024-05-27,330741,14079,84
2024-05-27,926139,114,0
2024-05-27,1025274,44,0
2024-05-28,82397,3851,906
2024-05-28,92215,4161,461
2024-05-28,529893,37864,127
2024-05-28,84772,3051,376
2024-05-29,102492,2318,45
2024-05-29,118219,11765,274
2024-05-30,45544,2331,179
2024-05-30,92165,1774,104
2024-05-30,102202,9210,230
2024-05-30,1296492,91106,338
2024-05-31,39079,2556,204
2024-05-31,70513,6518,96
2024-05-31,13128,104,19
2024-05-31,18815,1611,302
2024-05-31,20656,807,98
