date,views,likes,comments,trend,days_old,daily_views,daily_likes,daily_comments,daily_likes_to_views_ratio,daily_comments_to_views_ratio,trend_to_daily_views_ratio,trend_to_daily_likes_ratio,diff_daily_views,diff_daily_likes,diff_daily_comments
2024-05-01 00:00:00+00:00,36093.666666666664,2405.0,471.0,93,25,1443.0,96.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-02 00:00:00+00:00,82411.0,5542.0,71.66666666666667,100,24,3433.0,230.0,2.0,0.0,0.0,0.0,0.0,1990.0,134.0,-16.0
2024-05-03 00:00:00+00:00,26485.333333333332,5364.0,158.33333333333334,49,23,1151.0,233.0,6.0,0.0,0.0,0.0,0.0,-2282.0,3.0,4.0
2024-05-04 00:00:00+00:00,33099.75,1451.0,237.5,43,22,1504.0,65.0,10.0,0.0,0.0,0.0,0.0,353.0,-168.0,4.0
2024-05-05 00:00:00+00:00,7361.0,751.5,10.0,42,21,350.0,35.0,0.0,0.0,0.0,0.0,1.0,-1154.0,-30.0,-10.0
2024-05-06 00:00:00+00:00,408274.75,16715.25,2413.25,49,20,20413.0,835.0,120.0,0.0,0.0,0.0,0.0,20063.0,800.0,120.0
2024-05-07 00:00:00+00:00,314486.0,10343.0,1105.0,57,19,16551.0,544.0,58.0,0.0,0.0,0.0,0.0,-3862.0,-291.0,-62.0
2024-05-08 00:00:00+00:00,11063.666666666666,927.6666666666666,143.66666666666666,38,18,614.0,51.0,7.0,0.0,0.0,0.0,0.0,-15937.0,-493.0,-51.0
2024-05-09 00:00:00+00:00,123519.0,2287.6666666666665,959.6666666666666,55,17,7265.0,134.0,56.0,0.0,0.0,0.0,0.0,6651.0,83.0,49.0
2024-05-10 00:00:00+00:00,64850.4,1356.4,776.0,64,16,4053.0,84.0,48.0,0.0,0.0,0.0,0.0,-3212.0,-50.0,-8.0
2024-05-11 00:00:00+00:00,9437.0,1218.5,23.0,61,15,629.0,81.0,1.0,0.0,0.0,0.0,0.0,-3424.0,-3.0,-47.0
2024-05-12 00:00:00+00:00,4602.0,591.0,1.5,66,14,328.0,42.0,0.0,0.0,0.0,0.0,1.0,-301.0,-39.0,-1.0
2024-05-13 00:00:00+00:00,9994.5,524.25,5.0,59,13,768.0,40.0,0.0,0.0,0.0,0.0,1.0,440.0,-2.0,0.0
2024-05-14 00:00:00+00:00,4082.5,551.5,1.0,59,12,340.0,45.0,0.0,0.0,0.0,0.0,1.0,-428.0,5.0,0.0
2024-05-15 00:00:00+00:00,108746.0,4145.0,422.6666666666667,33,11,9886.0,376.0,38.0,0.0,0.0,0.0,0.0,9546.0,331.0,38.0
2024-05-16 00:00:00+00:00,9798.25,1251.5,3.25,53,10,979.0,125.0,0.0,0.0,0.0,0.0,0.0,-8907.0,-251.0,-38.0
2024-05-17 00:00:00+00:00,7636.5,1545.5,4.5,41,9,848.0,171.0,0.0,0.0,0.0,0.0,0.0,-131.0,46.0,0.0
2024-05-18 00:00:00+00:00,81411.0,3434.6666666666665,1063.3333333333333,36,8,10176.0,429.0,132.0,0.0,0.0,0.0,0.0,9328.0,258.0,132.0
2024-05-19 00:00:00+00:00,269917.3333333333,27938.666666666668,152.66666666666666,35,7,38559.0,3991.0,21.0,0.0,0.0,0.0,0.0,28383.0,3562.0,-111.0
2024-05-20 00:00:00+00:00,16609.666666666668,1609.6666666666667,64.0,35,6,2768.0,268.0,10.0,0.0,0.0,0.0,0.0,-35791.0,-3723.0,-11.0
2024-05-21 00:00:00+00:00,65792.66666666667,1493.0,296.6666666666667,35,5,13158.0,298.0,59.0,0.0,0.0,0.0,0.0,10390.0,30.0,49.0
2024-05-22 00:00:00+00:00,34958.25,1188.0,192.0,50,4,8739.0,297.0,48.0,0.0,0.0,0.0,0.0,-4419.0,-1.0,-11.0
2024-05-23 00:00:00+00:00,9062.0,800.0,8.0,41,3,3020.0,266.0,2.0,0.0,0.0,0.0,0.0,-5719.0,-31.0,-46.0
2024-05-24 00:00:00+00:00,11775.0,720.0,17.0,35,2,5887.0,360.0,8.0,0.0,0.0,0.0,0.0,2867.0,94.0,6.0
2024-05-25 00:00:00+00:00,5748.333333333333,1135.6666666666667,12.0,30,1,5748.0,1135.0,12.0,0.0,0.0,0.0,0.0,-139.0,775.0,4.0
