date,views,likes,comments
2024-05-03,809397,5811,2742
2024-05-03,811084,7098,628
2024-05-03,1082196,11734,1109
2024-05-04,1762999,17401,1242
2024-05-04,696662,31627,562
2024-05-04,1020718,43815,402
2024-05-05,1512544,50882,977
2024-05-05,1626941,19807,2877
2024-05-05,2617028,32596,2767
2024-05-06,225923,3003,1333
2024-05-06,261201,10025,151
2024-05-06,304307,2493,824
2024-05-07,2778301,107595,1757
2024-05-07,3187376,33860,4939
2024-05-07,1154521,37764,1018
2024-05-08,1691288,17353,9141
2024-05-08,792353,23050,1839
2024-05-08,973351,9342,442
2024-05-08,1886309,18960,1477
2024-05-09,622969,8715,1004
2024-05-09,1008056,11679,560
2024-05-10,1467501,17036,1212
2024-05-10,714336,2604,827
2024-05-10,805400,8000,551
2024-05-11,685957,7017,472
2024-05-11,1433726,42707,245
2024-05-11,2037048,20140,2235
2024-05-11,1824858,18471,1665
2024-05-12,1012235,52928,632
2024-05-12,2241838,105436,1951
2024-05-13,1047917,12931,2734
2024-05-13,2148776,8,6
2024-05-13,2295725,24213,2696
2024-05-14,1786611,17266,1574
2024-05-14,721217,6658,258
2024-05-14,540376,14482,358
2024-05-15,837995,10433,3388
2024-05-15,1000203,10210,600
2024-05-15,2486702,25458,3324
2024-05-16,634311,6219,1183
2024-05-16,805045,7351,405
2024-05-16,1864972,19699,1205
2024-05-17,522393,4601,596
2024-05-17,1003064,12058,2911
2024-05-17,2871524,30429,2914
2024-05-18,200398,2048,66
2024-05-18,1042949,9245,374
2024-05-18,333266,3863,974
2024-05-19,832494,42426,1345
2024-05-19,2628627,29858,2515
2024-05-19,1406750,12242,1371
2024-05-19,779404,10104,1372
2024-05-20,551775,23405,293
2024-05-20,599317,15576,2258
2024-05-20,3981125,48097,4265
2024-05-20,1693403,22853,3514
2024-05-20,358255,6695,1213
2024-05-22,1096837,36071,1667
2024-05-22,1746555,18278,1619
2024-05-22,874607,26557,1617
2024-05-23,751508,37671,1160
2024-05-23,779774,6150,1745
2024-05-23,2781886,35586,3337
2024-05-23,431309,10829,525
2024-05-23,614736,47587,504
2024-05-24,1337228,13371,1083
2024-05-25,2109155,113445,2440
2024-05-25,1554421,45068,1621
2024-05-25,1952491,16768,1813
2024-05-26,492197,18181,425
2024-05-26,512437,2900,333
2024-05-26,813545,0,4411
2024-05-27,802979,5772,1093
2024-05-27,1099594,8322,961
2024-05-27,1243279,9521,714
2024-05-28,457181,4636,679
2024-05-28,488005,36042,1015
2024-05-28,649279,3588,417
2024-05-29,149621,866,221
2024-05-29,103047,322,2
2024-05-29,882816,9643,1331
2024-05-29,1188674,7478,583
2024-05-29,574681,4568,257
2024-05-29,98602,258,21
2024-05-31,726277,10736,2788
2024-05-31,985478,14188,2548
2024-05-31,1556240,9739,1232
2024-05-31,46171,1206,100
2024-05-31,102777,1613,899
2024-05-31,155552,2869,1362
