date,views,likes,comments
2024-05-03,44087,0,114
2024-05-03,58305,0,224
2024-05-03,168745,1003,186
2024-05-04,22557,0,161
2024-05-04,48148,983,892
2024-05-04,76963,205,294
2024-05-05,77844,190,170
2024-05-05,105820,0,414
2024-05-05,791068,3138,666
2024-05-05,32390,129,149
2024-05-06,30098,461,191
2024-05-06,32448,854,293
2024-05-07,427077,525,35
2024-05-07,50382,0,255
2024-05-07,80290,0,594
2024-05-08,12013,39,19
2024-05-08,13338,52,21
2024-05-08,14153,0,101
2024-05-09,18266,0,97
2024-05-09,27557,0,133
2024-05-09,67724,0,305
2024-05-09,12682,692,51
2024-05-10,28338,349,94
2024-05-10,7003,23,26
2024-05-11,53406,207,258
2024-05-11,17219,0,63
2024-05-11,27124,135,121
2024-05-11,64584,0,204
2024-05-12,48641,0,140
2024-05-12,82025,0,179
2024-05-12,43530,101,153
2024-05-12,52218,0,79
2024-05-13,46808,0,225
2024-05-14,77125,0,242
2024-05-14,134632,2008,1506
2024-05-14,105291,744,1108
2024-05-14,143303,1804,1704
2024-05-15,55933,0,488
2024-05-15,6871,0,47
2024-05-15,53336,583,362
2024-05-16,30542,0,89
2024-05-16,124953,1941,802
2024-05-17,254773,1638,751
2024-05-17,13183,161,26
2024-05-17,15471,66,47
2024-05-18,117266,0,283
2024-05-18,309025,1741,624
2024-05-18,45887,352,188
2024-05-18,166604,1434,514
2024-05-18,36785,0,118
2024-05-19,65069,300,161
2024-05-20,110217,0,902
2024-05-20,151007,1215,922
2024-05-20,1201100,8514,3286
2024-05-21,51158,0,198
2024-05-21,158795,744,801
2024-05-21,256144,1533,1272
2024-05-21,1150652,6786,8656
2024-05-22,44826,652,144
2024-05-22,58352,486,123
2024-05-23,33408,405,205
2024-05-23,146763,0,234
2024-05-23,458117,14575,2951
2024-05-24,68519,1053,442
2024-05-24,46932,829,222
2024-05-24,57848,458,213
2024-05-25,317622,1527,458
2024-05-25,80900,0,192
2024-05-25,131218,1068,141
2024-05-26,17355,0,71
2024-05-26,22267,520,207
2024-05-26,96629,0,689
2024-05-27,109485,349,65
2024-05-27,138530,0,91
2024-05-27,173853,3059,658
2024-05-27,56791,368,451
2024-05-28,63509,421,307
2024-05-28,66380,939,426
2024-05-29,106800,475,56
2024-05-29,75349,485,230
2024-05-29,63292,338,78
2024-05-30,243760,1044,28
2024-05-30,408103,1934,25
2024-05-30,502859,1710,0
2024-05-30,220140,794,8
2024-05-31,242249,951,9
2024-05-31,258206,0,769
2024-05-31,18523,167,0
2024-05-31,50162,719,577
2024-06-01,62913,237,1
