date,views,likes,comments,trend,days_old,daily_views,daily_likes,daily_comments,daily_likes_to_views_ratio,daily_comments_to_views_ratio,trend_to_daily_views_ratio,trend_to_daily_likes_ratio,diff_daily_views,diff_daily_likes,diff_daily_comments
2024-05-03 00:00:00+00:00,90379.0,334.3333333333333,174.66666666666666,0,29,3116.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-04 00:00:00+00:00,49222.666666666664,396.0,449.0,0,28,1757.0,14.0,16.0,0.0,0.0,0.0,0.0,-1359.0,3.0,10.0
2024-05-05 00:00:00+00:00,251780.5,864.25,349.75,0,27,9325.0,32.0,12.0,0.0,0.0,0.0,0.0,7568.0,18.0,-4.0
2024-05-06 00:00:00+00:00,31273.0,657.5,242.0,0,26,1202.0,25.0,9.0,0.0,0.0,0.0,0.0,-8123.0,-7.0,-3.0
2024-05-07 00:00:00+00:00,185916.33333333334,175.0,294.6666666666667,0,25,7436.0,7.0,11.0,0.0,0.0,0.0,0.0,6234.0,-18.0,2.0
2024-05-08 00:00:00+00:00,13168.0,30.333333333333332,47.0,0,24,548.0,1.0,1.0,0.0,0.0,0.0,0.0,-6888.0,-6.0,-10.0
2024-05-09 00:00:00+00:00,31557.25,173.0,146.5,0,23,1372.0,7.0,6.0,0.0,0.0,0.0,0.0,824.0,6.0,5.0
2024-05-10 00:00:00+00:00,17670.5,186.0,60.0,0,22,803.0,8.0,2.0,0.0,0.0,0.0,0.0,-569.0,1.0,-4.0
2024-05-11 00:00:00+00:00,40583.25,85.5,161.5,0,21,1932.0,4.0,7.0,0.0,0.0,0.0,0.0,1129.0,-4.0,5.0
2024-05-12 00:00:00+00:00,56603.5,25.25,137.75,0,20,2830.0,1.0,6.0,0.0,0.0,0.0,0.0,898.0,-3.0,-1.0
2024-05-13 00:00:00+00:00,46808.0,0.0,225.0,0,19,2463.0,0.0,11.0,0.0,0.0,0.0,0.0,-367.0,-1.0,5.0
2024-05-14 00:00:00+00:00,115087.75,1139.0,1140.0,0,18,6393.0,63.0,63.0,0.0,0.0,0.0,0.0,3930.0,63.0,52.0
2024-05-15 00:00:00+00:00,38713.333333333336,194.33333333333334,299.0,0,17,2277.0,11.0,17.0,0.0,0.0,0.0,0.0,-4116.0,-52.0,-46.0
2024-05-16 00:00:00+00:00,77747.5,970.5,445.5,0,16,4859.0,60.0,27.0,0.0,0.0,0.0,0.0,2582.0,49.0,10.0
2024-05-17 00:00:00+00:00,94475.66666666667,621.6666666666666,274.6666666666667,0,15,6298.0,41.0,18.0,0.0,0.0,0.0,0.0,1439.0,-19.0,-9.0
2024-05-18 00:00:00+00:00,135113.4,705.4,345.4,4,14,9650.0,50.0,24.0,0.0,0.0,0.0,0.0,3352.0,9.0,6.0
2024-05-19 00:00:00+00:00,65069.0,300.0,161.0,5,13,5005.0,23.0,12.0,0.0,0.0,0.0,0.0,-4645.0,-27.0,-12.0
2024-05-20 00:00:00+00:00,487441.3333333333,3243.0,1703.3333333333333,6,12,40620.0,270.0,141.0,0.0,0.0,0.0,0.0,35615.0,247.0,129.0
2024-05-21 00:00:00+00:00,404187.25,2265.75,2731.75,7,11,36744.0,205.0,248.0,0.0,0.0,0.0,0.0,-3876.0,-65.0,107.0
2024-05-22 00:00:00+00:00,51589.0,569.0,133.5,6,10,5158.0,56.0,13.0,0.0,0.0,0.0,0.0,-31586.0,-149.0,-235.0
2024-05-23 00:00:00+00:00,212762.66666666666,4993.333333333333,1130.0,6,9,23640.0,554.0,125.0,0.0,0.0,0.0,0.0,18482.0,498.0,112.0
2024-05-24 00:00:00+00:00,57766.333333333336,780.0,292.3333333333333,6,8,7220.0,97.0,36.0,0.0,0.0,0.0,0.0,-16420.0,-457.0,-89.0
2024-05-25 00:00:00+00:00,176580.0,865.0,263.6666666666667,6,7,25225.0,123.0,37.0,0.0,0.0,0.0,0.0,18005.0,26.0,1.0
2024-05-26 00:00:00+00:00,45417.0,173.33333333333334,322.3333333333333,9,6,7569.0,28.0,53.0,0.0,0.0,0.0,0.0,-17656.0,-95.0,16.0
2024-05-27 00:00:00+00:00,119664.75,944.0,316.25,11,5,23932.0,188.0,63.0,0.0,0.0,0.0,0.0,16363.0,160.0,10.0
2024-05-28 00:00:00+00:00,64944.5,680.0,366.5,16,4,16236.0,170.0,91.0,0.0,0.0,0.0,0.0,-7696.0,-18.0,28.0
2024-05-29 00:00:00+00:00,81813.66666666667,432.6666666666667,121.33333333333333,41,3,27271.0,144.0,40.0,0.0,0.0,0.0,0.0,11035.0,-26.0,-51.0
2024-05-30 00:00:00+00:00,343715.5,1370.5,15.25,96,2,171857.0,685.0,7.0,0.0,0.0,0.0,0.0,144586.0,541.0,-33.0
2024-05-31 00:00:00+00:00,142285.0,459.25,338.75,100,1,142285.0,459.0,338.0,0.0,0.0,0.0,0.0,-29572.0,-226.0,331.0
