date,views,likes,comments
2024-05-03,19090,129,63
2024-05-03,43477,3055,526
2024-05-03,16673,1592,359
2024-05-03,36426,1432,625
2024-05-03,118372,7900,1808
2024-05-03,10811,288,49
2024-05-04,42055,1601,85
2024-05-05,9451,1649,304
2024-05-05,34326,246,63
2024-05-05,5864,394,46
2024-05-06,5604,71,37
2024-05-06,10836,1297,347
2024-05-07,54465,1918,99
2024-05-07,2876,0,1
2024-05-07,1893,36,0
2024-05-07,3332,66,12
2024-05-08,10141,1201,141
2024-05-08,11274,272,0
2024-05-09,20271,1243,180
2024-05-09,21714,307,255
2024-05-09,3400220,139280,11336
2024-05-10,5567,163,15
2024-05-10,55074,3251,910
2024-05-10,12694,308,134
2024-05-10,7388,172,53
2024-05-11,63247,1229,0
2024-05-11,7133,84,0
2024-05-11,25327,2917,478
2024-05-12,9436,364,53
2024-05-12,8890,281,5
2024-05-12,3787,219,26
2024-05-13,171046,13193,1874
2024-05-13,24988,1126,80
2024-05-13,39602,2142,675
2024-05-14,13450,719,43
2024-05-14,445821,13113,2722
2024-05-14,40826,3361,592
2024-05-15,64365,2298,631
2024-05-15,44582,1062,0
2024-05-15,26058,2384,793
2024-05-16,14788,2085,340
2024-05-16,17649,0,549
2024-05-17,57801,2433,541
2024-05-17,13276,1355,275
2024-05-17,20967,1647,185
2024-05-18,18669,1153,47
2024-05-18,21024,1072,423
2024-05-18,18843,513,161
2024-05-19,4298,560,55
2024-05-19,4844,192,36
2024-05-19,1184,13,9
2024-05-20,2088,550,0
2024-05-20,6655,7,21
2024-05-20,89844,1735,0
2024-05-20,1528,121,9
2024-05-21,27515,3124,832
2024-05-21,4316,0,14
2024-05-22,20744,141,0
2024-05-22,25078,115,0
2024-05-22,11950,306,289
2024-05-23,8369,77,0
2024-05-23,8342,135,0
2024-05-23,9708,150,0
2024-05-23,6091,298,284
2024-05-23,13949,116,0
2024-05-24,272281,15534,3461
2024-05-25,30028,2580,579
2024-05-25,5713,670,62
2024-05-25,27747,3222,461
2024-05-26,7827,385,33
2024-05-26,8728,578,192
2024-05-26,11834,238,23
2024-05-27,2070,302,22
2024-05-27,2495,142,18
2024-05-27,5426,874,32
2024-05-27,953,8,3
2024-05-28,6918,366,21
2024-05-28,112425,6389,108
2024-05-28,2733,35,29
2024-05-28,4639,40,0
2024-05-29,23702,1753,412
2024-05-29,4485,466,68
2024-05-30,8209,1346,320
2024-05-30,8584,209,84
2024-05-31,2206,46,0
2024-05-31,4092,100,131
2024-05-31,12035,176,112
2024-05-31,150,2,5
2024-05-31,5804,120,28
2024-06-01,830,75,13
