date,id,views,likes,comments
2024-05-31T19:00:32Z,k1b8VT2VWsA,668398,34568,4618
2024-05-31T19:20:17Z,XziEhwHErDc,427415,27458,4111
2024-06-01T03:45:00Z,7sfRPosZ8CU,485158,28990,2521
2024-05-31T01:35:47Z,Kw5RzQqUkmE,1886248,40934,8306
2024-05-30T23:53:14Z,DkRFl-zQbK4,1281543,85457,3496
2024-05-31T18:00:14Z,Koa80XAm6dI,1099980,34873,11956
2024-05-30T03:45:01Z,HmPGGuWM45A,2246350,58481,4396
2024-05-30T13:00:19Z,PSO6BW-oM-o,961179,14340,6756
2024-05-30T02:45:01Z,mVLBYTaDQRM,851635,43850,2597
2024-05-29T08:53:02Z,4udFp-BuAMo,1442496,47371,20271
2024-05-29T15:10:09Z,Ec9EGlyEJWU,994781,72269,2749
2024-05-28T23:28:49Z,OQbpxg7GGTY,971363,121532,1207
2024-05-28T15:41:31Z,ZwIjy1I71ws,1342761,55971,23712
2024-05-28T18:39:23Z,d_cRfrlyNAc,1170978,55024,6385
2024-05-28T00:00:06Z,dHrGC_-vCWA,1021116,101084,17788
2024-05-27T09:02:55Z,oJUvTVdTMyY,1051290,2053,0
2024-05-27T00:34:13Z,nT5toCufdco,889807,48357,5980
2024-05-27T11:00:47Z,vRvKk-9aeFQ,857003,52972,6557
2024-05-26T04:47:29Z,Dm0XkspJku4,2993125,198508,8047
2024-05-26T06:13:47Z,ZHCeRP2OETM,1585835,50299,9363
2024-05-26T01:53:58Z,c8gkY1k-Fz0,1376098,70860,15834
2024-05-25T16:25:25Z,mOUWa6MBCRA,6177304,150002,978
2024-05-25T13:00:15Z,9GF7qeuh6nk,1549742,29607,1926
2024-05-25T18:11:00Z,pL9GBLX1yKE,961092,48002,3030
2024-05-24T02:42:26Z,8KSKqvRXUOo,1966350,49486,2769
2024-05-24T02:30:02Z,6TJMU8MrVZY,1479771,51015,8395
2024-05-24T16:07:17Z,iZdmAoy1Ux4,1224618,69906,8718
2024-05-23T03:45:02Z,c6Z-uJvQxio,2597409,60323,4277
