views,likes,comments,days_old,daily_views,daily_likes,daily_comments,daily_likes_to_views_ratio,daily_comments_to_views_ratio,trend_to_daily_views_ratio,trend_to_daily_likes_ratio,diff_daily_views,diff_daily_likes,diff_daily_comments,trend
0.06004118801686134,0.2321972301345644,0.10312204351939451,0.9999999999999999,0.027306909942673985,0.05933682373472949,0.0819672131147541,0.0,0.0,0.0,0.0,0.49690856857356985,0.35563636363636364,0.4957264957264958,42
0.04754641696431444,0.03634220607013064,0.019867549668874173,0.9642857142857143,0.020464772236947544,0.0,0.01639344262295082,0.0,0.0,0.0,1.0,0.49344241818636025,0.30618181818181817,0.4615384615384616,43
0.01760787720822473,0.11776839210293684,0.0391043834752444,0.9285714285714285,0.000739690562781236,0.027050610820244327,0.03278688524590164,0.0,0.0,0.0,0.5,0.48691606295278544,0.3781818181818182,0.5042735042735044,62
0.32138880844354345,0.13397505156664374,1.0,0.8928571428571428,0.22535905812735008,0.034031413612565446,1.0,0.0,0.0,0.0,0.5,0.6106982263302524,0.3614545454545455,1.0000000000000002,67
0.06655726099687873,0.23013456438463806,0.1043834752444024,0.8571428571428571,0.03994329039018678,0.0706806282722513,0.09836065573770492,0.0,0.0,0.0,0.5,0.4029790157381964,0.3861818181818182,0.02564102564102566,100
0.027155130804131674,0.12415283370985168,0.04383475244402397,0.8214285714285714,0.010972076681255008,0.034904013961605584,0.03278688524590164,0.0,0.0,0.0,0.5,0.48223207594304274,0.32581818181818184,0.4615384615384616,97
0.04744022910834379,0.3359198507022885,0.065279091769158,0.7857142857142857,0.029217777229858848,0.11867364746945899,0.06557377049180328,0.0,0.0,0.0,0.0,0.5061516362727955,0.4254545454545454,0.5128205128205129,56
0.03990571805515332,0.08820351635399272,0.05045726900031536,0.75,0.024902915613634967,0.02530541012216405,0.04918032786885246,0.0,0.0,0.0,0.5,0.4947227079690233,0.27781818181818185,0.4871794871794872,49
0.011728931364031275,0.057901974265789205,0.005991800693787449,0.7142857142857143,0.0013560993650989332,0.013961605584642232,0.0,0.0,0.0,0.0,0.5,0.4849800149887585,0.3461818181818182,0.47008547008547014,53
0.016391543585288153,0.0221491012670661,0.010091453800063072,0.6785714285714285,0.006903778585958208,0.0,0.0,0.0,0.0,0.0,1.0,0.49971896077941547,0.34400000000000003,0.4957264957264958,48
0.9999999999999999,1.0,0.696625670135604,0.6428571428571428,1.0,0.4581151832460733,0.9508196721311476,0.0,0.0,0.0,0.0,1.0,0.7374545454545454,0.9914529914529916,65
0.024995977732728384,0.08132796385423828,0.005361084831283507,0.6071428571428571,0.019108672871848614,0.031413612565445025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45
0.021195739614505906,0.07278263431882918,0.003468937243771681,0.5714285714285714,0.01713616470443198,0.029668411867364748,0.0,0.0,0.0,0.0,0.5,0.4959093180114914,0.3541818181818182,0.4957264957264958,63
0.06762879299803713,0.027403987820449855,0.46326080100914535,0.5357142857142857,0.07501695124206374,0.006980802792321116,0.7377049180327869,0.0,0.0,0.0,1.0,0.5262303272545591,0.3367272727272727,0.8803418803418804,69
0.01840911284873057,0.10377173165700815,0.014191106906338694,0.5,0.01855390494976268,0.05410122164048866,0.01639344262295082,0.0,0.0,0.0,0.0,0.46830502123407447,0.39490909090909093,0.11965811965811968,77
0.002850983042121183,0.04213731460563795,0.000630715862503942,0.4642857142857143,0.0,0.020069808027923214,0.0,0.0,0.0,0.0,0.5,0.4875093679740195,0.32727272727272727,0.4871794871794872,65
0.017514560607523245,0.03737353894509381,0.002522863450015768,0.42857142857142855,0.02317697096714541,0.01919720767888307,0.0,0.0,0.0,0.0,0.5,0.5086497626779916,0.3549090909090909,0.4957264957264958,59
0.0011793287640377119,0.03825753855220508,0.000315357931251971,0.39285714285714285,0.000739690562781236,0.02268760907504363,0.0,0.0,0.0,0.0,0.5,0.4855420934299276,0.35854545454545456,0.4957264957264958,52
0.04150014480162177,0.007268441214026127,0.002207505518763797,0.35714285714285715,0.0728595204339518,0.00174520069808028,0.0,0.0,0.0,0.0,1.0,0.5334436672495628,0.3381818181818182,0.4957264957264958,48
0.01767223348457058,0.05652686376583832,0.0,0.3214285714285714,0.03649140109720767,0.04712041884816754,0.0,0.0,0.0,0.0,0.0,0.4784848863352486,0.39345454545454545,0.4957264957264958,46
0.012615439070695369,0.1358903840487182,0.002522863450015768,0.2857142857142857,0.03205325772052025,0.1326352530541012,0.0,0.0,0.0,0.0,0.0,0.49466025480889336,0.4269090909090909,0.4957264957264958,43
0.022296231940019947,0.148511933994696,0.000946073793755913,0.25,0.06176416199223325,0.16579406631762653,0.0,0.0,0.0,0.0,0.0,0.5119597801648764,0.38327272727272726,0.4957264957264958,39
0.03236477137432828,0.07130930164031038,0.001576789656259855,0.2142857142857143,0.10102940269987057,0.09336823734729494,0.0,0.0,0.0,0.0,0.0,0.5167999000749438,0.2952727272727273,0.4957264957264958,38
0.020764552562988706,0.06757685885472939,0.004730368968779565,0.17857142857142855,0.08420144239659744,0.10645724258289704,0.01639344262295082,0.0,0.0,0.0,0.0,0.48838371221583815,0.36654545454545456,0.5042735042735044,36
0.03415387585674293,0.0,0.000315357931251971,0.14285714285714285,0.15644455402823154,0.011343804537521814,0.0,0.0,0.0,0.0,0.5,0.5335061204096928,0.27636363636363637,0.4871794871794872,37
0.0035283328506612605,0.07243885669384147,0.004099653106275623,0.10714285714285714,0.053935770202798494,0.1788830715532286,0.01639344262295082,0.0,0.0,0.0,0.0,0.44497876592555585,0.49527272727272725,0.5042735042735044,54
